feature,importance
loan_inc_ratio,0.1441850113414076
dti_grade_interaction,0.12113882184157372
installment_inc_ratio,0.11312609192524054
dti,0.08590935489262536
log_int_rate,0.0788103690151706
int_rate,0.07575955151894172
installment,0.06689169464196454
log_annual_inc,0.06221016033238774
annual_inc,0.060135937899253415
log_loan_amnt,0.044380803325785895
loan_amnt,0.04356162887961635
emp_length_numeric,0.030772340455273703
grade_encoded,0.022133601795040776
purpose_encoded,0.022093320254307183
home_ownership_encoded,0.016920415556456864
verification_status_encoded,0.011970896324954012
