feature,importance
loan_inc_ratio,0.1394950740861405
installment_inc_ratio,0.10883378949844558
installment,0.09162650877942459
annual_inc,0.08023291104446088
dti,0.07968692528931577
dti_grade_interaction,0.07952594472754451
log_annual_inc,0.07906024287867322
int_rate,0.06342346938365212
log_int_rate,0.06293910805654665
log_loan_amnt,0.05999641991054291
loan_amnt,0.05979297356246442
emp_length_numeric,0.050348802049191135
purpose_encoded,0.020055884313654897
verification_status_encoded,0.013615748811549568
home_ownership_encoded,0.011366197608393191
grade_encoded,0.0
